"V1","V2","V3","V4","V5","V6"
"C830","3","C8303","Small cell B-cell lymphoma, intra-abdominal lymph nodes","Small cell B-cell lymphoma, intra-abdominal lymph nodes","Small cell B-cell lymphoma"
"C830","4","C8304","Small cell B-cell lymphoma, nodes of axilla and upper limb","Small cell B-cell lymphoma, lymph nodes of axilla and upper limb","Small cell B-cell lymphoma"
"C830","5","C8305","Small cell B-cell lymph, nodes of ing region and lower limb","Small cell B-cell lymphoma, lymph nodes of inguinal region and lower limb","Small cell B-cell lymphoma"
"C830","6","C8306","Small cell B-cell lymphoma, intrapelvic lymph nodes","Small cell B-cell lymphoma, intrapelvic lymph nodes","Small cell B-cell lymphoma"
"C830","7","C8307","Small cell B-cell lymphoma, spleen","Small cell B-cell lymphoma, spleen","Small cell B-cell lymphoma"
"C830","8","C8308","Small cell B-cell lymphoma, lymph nodes of multiple sites","Small cell B-cell lymphoma, lymph nodes of multiple sites","Small cell B-cell lymphoma"
"C830","9","C8309","Small cell B-cell lymphoma, extranodal and solid organ sites","Small cell B-cell lymphoma, extranodal and solid organ sites","Small cell B-cell lymphoma"
"C831","0","C8310","Mantle cell lymphoma, unspecified site","Mantle cell lymphoma, unspecified site","Mantle cell lymphoma"
"C831","1","C8311","Mantle cell lymphoma, lymph nodes of head, face, and neck","Mantle cell lymphoma, lymph nodes of head, face, and neck","Mantle cell lymphoma"
"C831","2","C8312","Mantle cell lymphoma, intrathoracic lymph nodes","Mantle cell lymphoma, intrathoracic lymph nodes","Mantle cell lymphoma"
"C831","3","C8313","Mantle cell lymphoma, intra-abdominal lymph nodes","Mantle cell lymphoma, intra-abdominal lymph nodes","Mantle cell lymphoma"
"C831","4","C8314","Mantle cell lymphoma, lymph nodes of axilla and upper limb","Mantle cell lymphoma, lymph nodes of axilla and upper limb","Mantle cell lymphoma"
"C831","5","C8315","Mantle cell lymphoma, nodes of ing region and lower limb","Mantle cell lymphoma, lymph nodes of inguinal region and lower limb","Mantle cell lymphoma"
"C831","6","C8316","Mantle cell lymphoma, intrapelvic lymph nodes","Mantle cell lymphoma, intrapelvic lymph nodes","Mantle cell lymphoma"
"C831","7","C8317","Mantle cell lymphoma, spleen","Mantle cell lymphoma, spleen","Mantle cell lymphoma"
"C831","8","C8318","Mantle cell lymphoma, lymph nodes of multiple sites","Mantle cell lymphoma, lymph nodes of multiple sites","Mantle cell lymphoma"
"C831","9","C8319","Mantle cell lymphoma, extranodal and solid organ sites","Mantle cell lymphoma, extranodal and solid organ sites","Mantle cell lymphoma"
"C833","0","C8330","Diffuse large B-cell lymphoma, unspecified site","Diffuse large B-cell lymphoma, unspecified site","Diffuse large B-cell lymphoma"
"C833","1","C8331","Diffuse large B-cell lymphoma, nodes of head, face, and neck","Diffuse large B-cell lymphoma, lymph nodes of head, face, and neck","Diffuse large B-cell lymphoma"
"C833","2","C8332","Diffuse large B-cell lymphoma, intrathoracic lymph nodes","Diffuse large B-cell lymphoma, intrathoracic lymph nodes","Diffuse large B-cell lymphoma"
"C833","3","C8333","Diffuse large B-cell lymphoma, intra-abdominal lymph nodes","Diffuse large B-cell lymphoma, intra-abdominal lymph nodes","Diffuse large B-cell lymphoma"
"C833","4","C8334","Diffuse large B-cell lymph, nodes of axilla and upper limb","Diffuse large B-cell lymphoma, lymph nodes of axilla and upper limb","Diffuse large B-cell lymphoma"
"C833","5","C8335","Diffus large B-cell lymph, nodes of ing rgn and lower limb","Diffuse large B-cell lymphoma, lymph nodes of inguinal region and lower limb","Diffuse large B-cell lymphoma"
"C833","6","C8336","Diffuse large B-cell lymphoma, intrapelvic lymph nodes","Diffuse large B-cell lymphoma, intrapelvic lymph nodes","Diffuse large B-cell lymphoma"
"C833","7","C8337","Diffuse large B-cell lymphoma, spleen","Diffuse large B-cell lymphoma, spleen","Diffuse large B-cell lymphoma"
"C833","8","C8338","Diffuse large B-cell lymphoma, lymph nodes of multiple sites","Diffuse large B-cell lymphoma, lymph nodes of multiple sites","Diffuse large B-cell lymphoma"
"C833","9","C8339","Diffuse large B-cell lymphoma, extrnod and solid organ sites","Diffuse large B-cell lymphoma, extranodal and solid organ sites","Diffuse large B-cell lymphoma"
"C835","0","C8350","Lymphoblastic (diffuse) lymphoma, unspecified site","Lymphoblastic (diffuse) lymphoma, unspecified site","Lymphoblastic (diffuse) lymphoma"
"C835","1","C8351","Lymphoblastic lymphoma, nodes of head, face, and neck","Lymphoblastic (diffuse) lymphoma, lymph nodes of head, face, and neck","Lymphoblastic (diffuse) lymphoma"
"C835","2","C8352","Lymphoblastic (diffuse) lymphoma, intrathoracic lymph nodes","Lymphoblastic (diffuse) lymphoma, intrathoracic lymph nodes","Lymphoblastic (diffuse) lymphoma"
"C835","3","C8353","Lymphoblastic (diffuse) lymphoma, intra-abd lymph nodes","Lymphoblastic (diffuse) lymphoma, intra-abdominal lymph nodes","Lymphoblastic (diffuse) lymphoma"
"C835","4","C8354","Lymphoblastic lymphoma, nodes of axilla and upper limb","Lymphoblastic (diffuse) lymphoma, lymph nodes of axilla and upper limb","Lymphoblastic (diffuse) lymphoma"
"C835","5","C8355","Lymphoblastic lymphoma, nodes of ing region and lower limb","Lymphoblastic (diffuse) lymphoma, lymph nodes of inguinal region and lower limb","Lymphoblastic (diffuse) lymphoma"
"C835","6","C8356","Lymphoblastic (diffuse) lymphoma, intrapelvic lymph nodes","Lymphoblastic (diffuse) lymphoma, intrapelvic lymph nodes","Lymphoblastic (diffuse) lymphoma"
"C835","7","C8357","Lymphoblastic (diffuse) lymphoma, spleen","Lymphoblastic (diffuse) lymphoma, spleen","Lymphoblastic (diffuse) lymphoma"
"C835","8","C8358","Lymphoblastic (diffuse) lymphoma, lymph nodes mult site","Lymphoblastic (diffuse) lymphoma, lymph nodes of multiple sites","Lymphoblastic (diffuse) lymphoma"
"C835","9","C8359","Lymphoblastic lymphoma, extrnod and solid organ sites","Lymphoblastic (diffuse) lymphoma, extranodal and solid organ sites","Lymphoblastic (diffuse) lymphoma"
"C837","0","C8370","Burkitt lymphoma, unspecified site","Burkitt lymphoma, unspecified site","Burkitt lymphoma"
"C837","1","C8371","Burkitt lymphoma, lymph nodes of head, face, and neck","Burkitt lymphoma, lymph nodes of head, face, and neck","Burkitt lymphoma"
"C837","2","C8372","Burkitt lymphoma, intrathoracic lymph nodes","Burkitt lymphoma, intrathoracic lymph nodes","Burkitt lymphoma"
"C837","3","C8373","Burkitt lymphoma, intra-abdominal lymph nodes","Burkitt lymphoma, intra-abdominal lymph nodes","Burkitt lymphoma"
"C837","4","C8374","Burkitt lymphoma, lymph nodes of axilla and upper limb","Burkitt lymphoma, lymph nodes of axilla and upper limb","Burkitt lymphoma"
"C837","5","C8375","Burkitt lymphoma, nodes of inguinal region and lower limb","Burkitt lymphoma, lymph nodes of inguinal region and lower limb","Burkitt lymphoma"
"C837","6","C8376","Burkitt lymphoma, intrapelvic lymph nodes","Burkitt lymphoma, intrapelvic lymph nodes","Burkitt lymphoma"
"C837","7","C8377","Burkitt lymphoma, spleen","Burkitt lymphoma, spleen","Burkitt lymphoma"
"C837","8","C8378","Burkitt lymphoma, lymph nodes of multiple sites","Burkitt lymphoma, lymph nodes of multiple sites","Burkitt lymphoma"
"C837","9","C8379","Burkitt lymphoma, extranodal and solid organ sites","Burkitt lymphoma, extranodal and solid organ sites","Burkitt lymphoma"
"C838","0","C8380","Other non-follicular lymphoma, unspecified site","Other non-follicular lymphoma, unspecified site","Other non-follicular lymphoma"
"C838","1","C8381","Oth non-follic lymphoma, lymph nodes of head, face, and neck","Other non-follicular lymphoma, lymph nodes of head, face, and neck","Other non-follicular lymphoma"
"C838","2","C8382","Other non-follicular lymphoma, intrathoracic lymph nodes","Other non-follicular lymphoma, intrathoracic lymph nodes","Other non-follicular lymphoma"
"C838","3","C8383","Other non-follicular lymphoma, intra-abdominal lymph nodes","Other non-follicular lymphoma, intra-abdominal lymph nodes","Other non-follicular lymphoma"
"C838","4","C8384","Oth non-follic lymphoma, nodes of axilla and upper limb","Other non-follicular lymphoma, lymph nodes of axilla and upper limb","Other non-follicular lymphoma"
"C838","5","C8385","Oth non-follic lymphoma, nodes of ing region and lower limb","Other non-follicular lymphoma, lymph nodes of inguinal region and lower limb","Other non-follicular lymphoma"
"C838","6","C8386","Other non-follicular lymphoma, intrapelvic lymph nodes","Other non-follicular lymphoma, intrapelvic lymph nodes","Other non-follicular lymphoma"
"C838","7","C8387","Other non-follicular lymphoma, spleen","Other non-follicular lymphoma, spleen","Other non-follicular lymphoma"
"C838","8","C8388","Other non-follicular lymphoma, lymph nodes of multiple sites","Other non-follicular lymphoma, lymph nodes of multiple sites","Other non-follicular lymphoma"
"C838","9","C8389","Oth non-follic lymphoma, extranodal and solid organ sites","Other non-follicular lymphoma, extranodal and solid organ sites","Other non-follicular lymphoma"
"C839","0","C8390","Non-follicular (diffuse) lymphoma, unsp, unspecified site","Non-follicular (diffuse) lymphoma, unspecified, unspecified site","Non-follicular (diffuse) lymphoma, unspecified"
"C839","1","C8391","Non-follic lymphoma, unsp, nodes of head, face, and neck","Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of head, face, and neck","Non-follicular (diffuse) lymphoma, unspecified"
"C839","2","C8392","Non-follic (diffuse) lymphoma, unsp, intrathorac lymph nodes","Non-follicular (diffuse) lymphoma, unspecified, intrathoracic lymph nodes","Non-follicular (diffuse) lymphoma, unspecified"
"C839","3","C8393","Non-follic (diffuse) lymphoma, unsp, intra-abd lymph nodes","Non-follicular (diffuse) lymphoma, unspecified, intra-abdominal lymph nodes","Non-follicular (diffuse) lymphoma, unspecified"
"C839","4","C8394","Non-follic lymphoma, unsp, nodes of axilla and upper limb","Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of axilla and upper limb","Non-follicular (diffuse) lymphoma, unspecified"
"C839","5","C8395","Non-follic lymph, unsp, nodes of ing region and lower limb","Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of inguinal region and lower limb","Non-follicular (diffuse) lymphoma, unspecified"
"C839","6","C8396","Non-follic (diffuse) lymphoma, unsp, intrapelvic lymph nodes","Non-follicular (diffuse) lymphoma, unspecified, intrapelvic lymph nodes","Non-follicular (diffuse) lymphoma, unspecified"
"C839","7","C8397","Non-follicular (diffuse) lymphoma, unspecified, spleen","Non-follicular (diffuse) lymphoma, unspecified, spleen","Non-follicular (diffuse) lymphoma, unspecified"
"C839","8","C8398","Non-follic (diffuse) lymphoma, unsp, lymph nodes mult site","Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of multiple sites","Non-follicular (diffuse) lymphoma, unspecified"
"C839","9","C8399","Non-follic lymphoma, unsp, extrnod and solid organ sites","Non-follicular (diffuse) lymphoma, unspecified, extranodal and solid organ sites","Non-follicular (diffuse) lymphoma, unspecified"
"C844","0","C8440","Peripheral T-cell lymphoma, not classified, unspecified site","Peripheral T-cell lymphoma, not classified, unspecified site","Peripheral T-cell lymphoma, not classified"
"C844","1","C8441","Prph T-cell lymph, not class, nodes of head, face, and neck","Peripheral T-cell lymphoma, not classified, lymph nodes of head, face, and neck","Peripheral T-cell lymphoma, not classified"
"C844","2","C8442","Peripheral T-cell lymphoma, not class, intrathorac nodes","Peripheral T-cell lymphoma, not classified, intrathoracic lymph nodes","Peripheral T-cell lymphoma, not classified"
"C844","3","C8443","Peripheral T-cell lymphoma, not classified, intra-abd nodes","Peripheral T-cell lymphoma, not classified, intra-abdominal lymph nodes","Peripheral T-cell lymphoma, not classified"
"C844","4","C8444","Prph T-cell lymph, not class, nodes of axilla and upper limb","Peripheral T-cell lymphoma, not classified, lymph nodes of axilla and upper limb","Peripheral T-cell lymphoma, not classified"
"C844","5","C8445","Prph T-cell lymph, not class, nodes of ing rgn and low limb","Peripheral T-cell lymphoma, not classified, lymph nodes of inguinal region and lower limb","Peripheral T-cell lymphoma, not classified"
"C844","6","C8446","Peripheral T-cell lymphoma, not classified, intrapelv nodes","Peripheral T-cell lymphoma, not classified, intrapelvic lymph nodes","Peripheral T-cell lymphoma, not classified"
"C844","7","C8447","Peripheral T-cell lymphoma, not classified, spleen","Peripheral T-cell lymphoma, not classified, spleen","Peripheral T-cell lymphoma, not classified"
"C844","8","C8448","Peripheral T-cell lymphoma, not classified, nodes mult site","Peripheral T-cell lymphoma, not classified, lymph nodes of multiple sites","Peripheral T-cell lymphoma, not classified"
"C844","9","C8449","Prph T-cell lymph, not class, extrnod and solid organ sites","Peripheral T-cell lymphoma, not classified, extranodal and solid organ sites","Peripheral T-cell lymphoma, not classified"
"C846","0","C8460","Anaplastic large cell lymphoma, ALK-positive, unsp site","Anaplastic large cell lymphoma, ALK-positive, unspecified site","Anaplastic large cell lymphoma, ALK-positive"
"C846","1","C8461","Anaplstc lg cell lymph, ALK-pos, nodes of head, face, and nk","Anaplastic large cell lymphoma, ALK-positive, lymph nodes of head, face, and neck","Anaplastic large cell lymphoma, ALK-positive"
"C846","2","C8462","Anaplastic large cell lymphoma, ALK-pos, intrathorac nodes","Anaplastic large cell lymphoma, ALK-positive, intrathoracic lymph nodes","Anaplastic large cell lymphoma, ALK-positive"
"C846","3","C8463","Anaplastic large cell lymphoma, ALK-pos, intra-abd nodes","Anaplastic large cell lymphoma, ALK-positive, intra-abdominal lymph nodes","Anaplastic large cell lymphoma, ALK-positive"
"C846","4","C8464","Anaplstc lg cell lymph, ALK-pos, nodes of axla and upr limb","Anaplastic large cell lymphoma, ALK-positive, lymph nodes of axilla and upper limb","Anaplastic large cell lymphoma, ALK-positive"
"C846","5","C8465","Anaplstc lg cell lymph, ALK-pos, nodes of ing rgn & low lmb","Anaplastic large cell lymphoma, ALK-positive, lymph nodes of inguinal region and lower limb","Anaplastic large cell lymphoma, ALK-positive"
"C846","6","C8466","Anaplastic large cell lymphoma, ALK-pos, intrapelv nodes","Anaplastic large cell lymphoma, ALK-positive, intrapelvic lymph nodes","Anaplastic large cell lymphoma, ALK-positive"
"C846","7","C8467","Anaplastic large cell lymphoma, ALK-positive, spleen","Anaplastic large cell lymphoma, ALK-positive, spleen","Anaplastic large cell lymphoma, ALK-positive"
"C846","8","C8468","Anaplastic large cell lymphoma, ALK-pos, nodes mult site","Anaplastic large cell lymphoma, ALK-positive, lymph nodes of multiple sites","Anaplastic large cell lymphoma, ALK-positive"
"C846","9","C8469","Anaplstc lg cell lymph, ALK-pos, extrnod and solid org sites","Anaplastic large cell lymphoma, ALK-positive, extranodal and solid organ sites","Anaplastic large cell lymphoma, ALK-positive"
"C847","0","C8470","Anaplastic large cell lymphoma, ALK-negative, unsp site","Anaplastic large cell lymphoma, ALK-negative, unspecified site","Anaplastic large cell lymphoma, ALK-negative"
"C847","1","C8471","Anaplstc lg cell lymph, ALK-neg, nodes of head, face, and nk","Anaplastic large cell lymphoma, ALK-negative, lymph nodes of head, face, and neck","Anaplastic large cell lymphoma, ALK-negative"
"C847","2","C8472","Anaplastic large cell lymphoma, ALK-neg, intrathorac nodes","Anaplastic large cell lymphoma, ALK-negative, intrathoracic lymph nodes","Anaplastic large cell lymphoma, ALK-negative"
"C847","3","C8473","Anaplastic large cell lymphoma, ALK-neg, intra-abd nodes","Anaplastic large cell lymphoma, ALK-negative, intra-abdominal lymph nodes","Anaplastic large cell lymphoma, ALK-negative"
"C847","4","C8474","Anaplstc lg cell lymph, ALK-neg, nodes of axla and upr limb","Anaplastic large cell lymphoma, ALK-negative, lymph nodes of axilla and upper limb","Anaplastic large cell lymphoma, ALK-negative"
"C847","5","C8475","Anaplstc lg cell lymph, ALK-neg, nodes of ing rgn & low lmb","Anaplastic large cell lymphoma, ALK-negative, lymph nodes of inguinal region and lower limb","Anaplastic large cell lymphoma, ALK-negative"
"C847","6","C8476","Anaplastic large cell lymphoma, ALK-neg, intrapelv nodes","Anaplastic large cell lymphoma, ALK-negative, intrapelvic lymph nodes","Anaplastic large cell lymphoma, ALK-negative"
"C847","7","C8477","Anaplastic large cell lymphoma, ALK-negative, spleen","Anaplastic large cell lymphoma, ALK-negative, spleen","Anaplastic large cell lymphoma, ALK-negative"
"C847","8","C8478","Anaplastic large cell lymphoma, ALK-neg, nodes mult site","Anaplastic large cell lymphoma, ALK-negative, lymph nodes of multiple sites","Anaplastic large cell lymphoma, ALK-negative"
"C847","9","C8479","Anaplstc lg cell lymph, ALK-neg, extrnod and solid org sites","Anaplastic large cell lymphoma, ALK-negative, extranodal and solid organ sites","Anaplastic large cell lymphoma, ALK-negative"
"C84A","0","C84A0","Cutaneous T-cell lymphoma, unspecified, unspecified site","Cutaneous T-cell lymphoma, unspecified, unspecified site","Cutaneous T-cell lymphoma, unspecified"
"C84A","1","C84A1","Cutan T-cell lymphoma, unsp nodes of head, face, and neck","Cutaneous T-cell lymphoma, unspecified lymph nodes of head, face, and neck","Cutaneous T-cell lymphoma, unspecified"
"C84A","2","C84A2","Cutaneous T-cell lymphoma, unsp, intrathoracic lymph nodes","Cutaneous T-cell lymphoma, unspecified, intrathoracic lymph nodes","Cutaneous T-cell lymphoma, unspecified"
"C84A","3","C84A3","Cutaneous T-cell lymphoma, unsp, intra-abdominal lymph nodes","Cutaneous T-cell lymphoma, unspecified, intra-abdominal lymph nodes","Cutaneous T-cell lymphoma, unspecified"
"C84A","4","C84A4","Cutan T-cell lymphoma, unsp, nodes of axilla and upper limb","Cutaneous T-cell lymphoma, unspecified, lymph nodes of axilla and upper limb","Cutaneous T-cell lymphoma, unspecified"
"C84A","5","C84A5","Cutan T-cell lymph, unsp, nodes of ing region and lower limb","Cutaneous T-cell lymphoma, unspecified, lymph nodes of inguinal region and lower limb","Cutaneous T-cell lymphoma, unspecified"
"C84A","6","C84A6","Cutaneous T-cell lymphoma, unsp, intrapelvic lymph nodes","Cutaneous T-cell lymphoma, unspecified, intrapelvic lymph nodes","Cutaneous T-cell lymphoma, unspecified"
"C84A","7","C84A7","Cutaneous T-cell lymphoma, unspecified, spleen","Cutaneous T-cell lymphoma, unspecified, spleen","Cutaneous T-cell lymphoma, unspecified"
"C84A","8","C84A8","Cutaneous T-cell lymphoma, unsp, lymph nodes mult site","Cutaneous T-cell lymphoma, unspecified, lymph nodes of multiple sites","Cutaneous T-cell lymphoma, unspecified"
"C84A","9","C84A9","Cutan T-cell lymphoma, unsp, extrnod and solid organ sites","Cutaneous T-cell lymphoma, unspecified, extranodal and solid organ sites","Cutaneous T-cell lymphoma, unspecified"
"C84Z","0","C84Z0","Other mature T/NK-cell lymphomas, unspecified site","Other mature T/NK-cell lymphomas, unspecified site","Other mature T/NK-cell lymphomas"
"C84Z","1","C84Z1","Oth mature T/NK-cell lymph, nodes of head, face, and neck","Other mature T/NK-cell lymphomas, lymph nodes of head, face, and neck","Other mature T/NK-cell lymphomas"
"C84Z","2","C84Z2","Other mature T/NK-cell lymphomas, intrathoracic lymph nodes","Other mature T/NK-cell lymphomas, intrathoracic lymph nodes","Other mature T/NK-cell lymphomas"
"C84Z","3","C84Z3","Oth mature T/NK-cell lymphomas, intra-abdominal lymph nodes","Other mature T/NK-cell lymphomas, intra-abdominal lymph nodes","Other mature T/NK-cell lymphomas"
"C84Z","4","C84Z4","Oth mature T/NK-cell lymph, nodes of axilla and upper limb","Other mature T/NK-cell lymphomas, lymph nodes of axilla and upper limb","Other mature T/NK-cell lymphomas"
"C84Z","5","C84Z5","Oth mature T/NK-cell lymph, nodes of ing rgn and lower limb","Other mature T/NK-cell lymphomas, lymph nodes of inguinal region and lower limb","Other mature T/NK-cell lymphomas"
"C84Z","6","C84Z6","Other mature T/NK-cell lymphomas, intrapelvic lymph nodes","Other mature T/NK-cell lymphomas, intrapelvic lymph nodes","Other mature T/NK-cell lymphomas"
"C84Z","7","C84Z7","Other mature T/NK-cell lymphomas, spleen","Other mature T/NK-cell lymphomas, spleen","Other mature T/NK-cell lymphomas"
"C84Z","8","C84Z8","Oth mature T/NK-cell lymphomas, lymph nodes mult site","Other mature T/NK-cell lymphomas, lymph nodes of multiple sites","Other mature T/NK-cell lymphomas"
"C84Z","9","C84Z9","Oth mature T/NK-cell lymph, extrnod and solid organ sites","Other mature T/NK-cell lymphomas, extranodal and solid organ sites","Other mature T/NK-cell lymphomas"
"C849","0","C8490","Mature T/NK-cell lymphomas, unspecified, unspecified site","Mature T/NK-cell lymphomas, unspecified, unspecified site","Mature T/NK-cell lymphomas, unspecified"
"C849","1","C8491","Mature T/NK-cell lymph, unsp, nodes of head, face, and neck","Mature T/NK-cell lymphomas, unspecified, lymph nodes of head, face, and neck","Mature T/NK-cell lymphomas, unspecified"
"C849","2","C8492","Mature T/NK-cell lymphomas, unsp, intrathoracic lymph nodes","Mature T/NK-cell lymphomas, unspecified, intrathoracic lymph nodes","Mature T/NK-cell lymphomas, unspecified"
"C849","3","C8493","Mature T/NK-cell lymphomas, unsp, intra-abd lymph nodes","Mature T/NK-cell lymphomas, unspecified, intra-abdominal lymph nodes","Mature T/NK-cell lymphomas, unspecified"
"C849","4","C8494","Mature T/NK-cell lymph, unsp, nodes of axilla and upper limb","Mature T/NK-cell lymphomas, unspecified, lymph nodes of axilla and upper limb","Mature T/NK-cell lymphomas, unspecified"
"C849","5","C8495","Mature T/NK-cell lymph, unsp, nodes of ing rgn and low limb","Mature T/NK-cell lymphomas, unspecified, lymph nodes of inguinal region and lower limb","Mature T/NK-cell lymphomas, unspecified"
"C849","6","C8496","Mature T/NK-cell lymphomas, unsp, intrapelvic lymph nodes","Mature T/NK-cell lymphomas, unspecified, intrapelvic lymph nodes","Mature T/NK-cell lymphomas, unspecified"
"C849","7","C8497","Mature T/NK-cell lymphomas, unspecified, spleen","Mature T/NK-cell lymphomas, unspecified, spleen","Mature T/NK-cell lymphomas, unspecified"
"C849","8","C8498","Mature T/NK-cell lymphomas, unsp, lymph nodes mult site","Mature T/NK-cell lymphomas, unspecified, lymph nodes of multiple sites","Mature T/NK-cell lymphomas, unspecified"
"C849","9","C8499","Mature T/NK-cell lymph, unsp, extrnod and solid organ sites","Mature T/NK-cell lymphomas, unspecified, extranodal and solid organ sites","Mature T/NK-cell lymphomas, unspecified"
"C851","0","C8510","Unspecified B-cell lymphoma, unspecified site","Unspecified B-cell lymphoma, unspecified site","Unspecified B-cell lymphoma"
"C851","1","C8511","Unsp B-cell lymphoma, lymph nodes of head, face, and neck","Unspecified B-cell lymphoma, lymph nodes of head, face, and neck","Unspecified B-cell lymphoma"
"C851","2","C8512","Unspecified B-cell lymphoma, intrathoracic lymph nodes","Unspecified B-cell lymphoma, intrathoracic lymph nodes","Unspecified B-cell lymphoma"
"C851","3","C8513","Unspecified B-cell lymphoma, intra-abdominal lymph nodes","Unspecified B-cell lymphoma, intra-abdominal lymph nodes","Unspecified B-cell lymphoma"
"C851","4","C8514","Unsp B-cell lymphoma, lymph nodes of axilla and upper limb","Unspecified B-cell lymphoma, lymph nodes of axilla and upper limb","Unspecified B-cell lymphoma"
"C851","5","C8515","Unsp B-cell lymphoma, nodes of ing region and lower limb","Unspecified B-cell lymphoma, lymph nodes of inguinal region and lower limb","Unspecified B-cell lymphoma"
"C851","6","C8516","Unspecified B-cell lymphoma, intrapelvic lymph nodes","Unspecified B-cell lymphoma, intrapelvic lymph nodes","Unspecified B-cell lymphoma"
"C851","7","C8517","Unspecified B-cell lymphoma, spleen","Unspecified B-cell lymphoma, spleen","Unspecified B-cell lymphoma"
"C851","8","C8518","Unspecified B-cell lymphoma, lymph nodes of multiple sites","Unspecified B-cell lymphoma, lymph nodes of multiple sites","Unspecified B-cell lymphoma"
"C851","9","C8519","Unsp B-cell lymphoma, extranodal and solid organ sites","Unspecified B-cell lymphoma, extranodal and solid organ sites","Unspecified B-cell lymphoma"
"C852","0","C8520","Mediastinal (thymic) large B-cell lymphoma, unspecified site","Mediastinal (thymic) large B-cell lymphoma, unspecified site","Mediastinal (thymic) large B-cell lymphoma"
"C852","1","C8521","Mediastnl large B-cell lymph, nodes of head, face, and neck","Mediastinal (thymic) large B-cell lymphoma, lymph nodes of head, face, and neck","Mediastinal (thymic) large B-cell lymphoma"
"C852","2","C8522","Mediastnl (thymic) large B-cell lymphoma, intrathorac nodes","Mediastinal (thymic) large B-cell lymphoma, intrathoracic lymph nodes","Mediastinal (thymic) large B-cell lymphoma"
"C852","3","C8523","Mediastinal (thymic) large B-cell lymphoma, intra-abd nodes","Mediastinal (thymic) large B-cell lymphoma, intra-abdominal lymph nodes","Mediastinal (thymic) large B-cell lymphoma"
"C852","4","C8524","Mediastnl large B-cell lymph, nodes of axilla and upper limb","Mediastinal (thymic) large B-cell lymphoma, lymph nodes of axilla and upper limb","Mediastinal (thymic) large B-cell lymphoma"
"C852","5","C8525","Mediastnl lg B-cell lymph, nodes of ing rgn and lower limb","Mediastinal (thymic) large B-cell lymphoma, lymph nodes of inguinal region and lower limb","Mediastinal (thymic) large B-cell lymphoma"
"C852","6","C8526","Mediastinal (thymic) large B-cell lymphoma, intrapelv nodes","Mediastinal (thymic) large B-cell lymphoma, intrapelvic lymph nodes","Mediastinal (thymic) large B-cell lymphoma"
"C852","7","C8527","Mediastinal (thymic) large B-cell lymphoma, spleen","Mediastinal (thymic) large B-cell lymphoma, spleen","Mediastinal (thymic) large B-cell lymphoma"
"C852","8","C8528","Mediastinal (thymic) large B-cell lymphoma, nodes mult site","Mediastinal (thymic) large B-cell lymphoma, lymph nodes of multiple sites","Mediastinal (thymic) large B-cell lymphoma"
"C852","9","C8529","Mediastnl large B-cell lymph, extrnod and solid organ sites","Mediastinal (thymic) large B-cell lymphoma, extranodal and solid organ sites","Mediastinal (thymic) large B-cell lymphoma"
"C858","0","C8580","Oth types of non-Hodgkin lymphoma, unspecified site","Other specified types of non-Hodgkin lymphoma, unspecified site","Other specified types of non-Hodgkin lymphoma"
"C858","1","C8581","Oth types of non-hodg lymph, nodes of head, face, and neck","Other specified types of non-Hodgkin lymphoma, lymph nodes of head, face, and neck","Other specified types of non-Hodgkin lymphoma"
"C858","2","C8582","Oth types of non-Hodgkin lymphoma, intrathoracic lymph nodes","Other specified types of non-Hodgkin lymphoma, intrathoracic lymph nodes","Other specified types of non-Hodgkin lymphoma"
"C858","3","C8583","Oth types of non-Hodgkin lymphoma, intra-abd lymph nodes","Other specified types of non-Hodgkin lymphoma, intra-abdominal lymph nodes","Other specified types of non-Hodgkin lymphoma"
"C858","4","C8584","Oth types of non-hodg lymph, nodes of axilla and upper limb","Other specified types of non-Hodgkin lymphoma, lymph nodes of axilla and upper limb","Other specified types of non-Hodgkin lymphoma"
"C858","5","C8585","Oth types of non-hodg lymph, nodes of ing rgn and lower limb","Other specified types of non-Hodgkin lymphoma, lymph nodes of inguinal region and lower limb","Other specified types of non-Hodgkin lymphoma"
"C858","6","C8586","Oth types of non-Hodgkin lymphoma, intrapelvic lymph nodes","Other specified types of non-Hodgkin lymphoma, intrapelvic lymph nodes","Other specified types of non-Hodgkin lymphoma"
"C858","7","C8587","Other specified types of non-Hodgkin lymphoma, spleen","Other specified types of non-Hodgkin lymphoma, spleen","Other specified types of non-Hodgkin lymphoma"
"C858","8","C8588","Oth types of non-Hodgkin lymphoma, lymph nodes mult site","Other specified types of non-Hodgkin lymphoma, lymph nodes of multiple sites","Other specified types of non-Hodgkin lymphoma"
"C858","9","C8589","Oth types of non-hodg lymph, extrnod and solid organ sites","Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites","Other specified types of non-Hodgkin lymphoma"
"C859","0","C8590","Non-Hodgkin lymphoma, unspecified, unspecified site","Non-Hodgkin lymphoma, unspecified, unspecified site","Non-Hodgkin lymphoma, unspecified"
"C859","1","C8591","Non-Hodgkin lymphoma, unsp, nodes of head, face, and neck","Non-Hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck","Non-Hodgkin lymphoma, unspecified"
